Sample_Name	Weight	Mutation_Info	SJ_File
TCGA-KL-8323	7.2135	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8323-01A-21R-2315-07.SJ.out.tab
TCGA-KL-8324	6.7264	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8324-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8325	7.5661	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8325-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8326	8.4605	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8326-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8327	6.6017	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8327-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8328	7.9378	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8328-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8329	8.6314	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8329-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8330	8.4276	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8330-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8331	7.928	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8331-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8332	5.8007	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8332-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8333	7.7455	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8333-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8334	8.1385	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8334-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8335	8.6583	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8335-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8336	7.7087	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8336-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8337	7.9994	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8337-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8338	7.4341	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8338-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8339	7.1906	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8339-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8340	7.3074	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8340-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8341	8.9528	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8341-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8342	6.8713	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8342-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8343	8.0656	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8343-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8344	8.792	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8344-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8345	7.3942	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8345-01A-11R-2315-07.SJ.out.tab
TCGA-KL-8346	8.0821	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KL-8346-01A-11R-2315-07.SJ.out.tab
TCGA-KM-8438	7.421	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KM-8438-01A-11R-2315-07.SJ.out.tab
TCGA-KM-8439	6.4747	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KM-8439-01A-11R-2315-07.SJ.out.tab
TCGA-KM-8440	7.867	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KM-8440-01A-11R-2315-07.SJ.out.tab
TCGA-KM-8441	6.9153	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/KICH/TCGA-KM-8441-01A-11R-2315-07.SJ.out.tab
