Sample_Name	Weight	Mutation_Info	SJ_File
TCGA-AF-2687	5.7229	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-2687-01A-02R-1736-07.SJ.out.tab
TCGA-AF-2690	5.4673	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-2690-01A-02R-1736-07.SJ.out.tab
TCGA-AF-2691	2.6301	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-2691-01A-01R-0821-07.SJ.out.tab
TCGA-AF-2692	2.5331	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-2692-01A-01R-0821-07.SJ.out.tab
TCGA-AF-2693	5.4973	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-2693-01A-02R-1736-07.SJ.out.tab
TCGA-AF-3400	2.5309	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-3400-01A-01R-0821-07.SJ.out.tab
TCGA-AF-3911	6.9167	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-3911-01A-01R-1736-07.SJ.out.tab
TCGA-AF-4110	6.094	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-4110-01A-02R-1736-07.SJ.out.tab
TCGA-AF-5654	4.7182	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-5654-01A-01R-1660-07.SJ.out.tab
TCGA-AF-6136	3.4939	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-6136-01A-11R-1830-07.SJ.out.tab
TCGA-AF-6655	4.019	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-6655-01A-11R-1830-07.SJ.out.tab
TCGA-AF-6672	4.5051	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-6672-01A-11R-1830-07.SJ.out.tab
TCGA-AF-A56K	5.8676	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-A56K-01A-32R-A39D-07.SJ.out.tab
TCGA-AF-A56L	6.5755	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-A56L-01A-31R-A39D-07.SJ.out.tab
TCGA-AF-A56N	5.8355	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AF-A56N-01A-12R-A39D-07.SJ.out.tab
TCGA-AG-3574	2.9299	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3574-01A-01R-0821-07.SJ.out.tab
TCGA-AG-3575	2.5142	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3575-01A-01R-0821-07.SJ.out.tab
TCGA-AG-3580	2.2591	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3580-01A-01R-0821-07.SJ.out.tab
TCGA-AG-3581	2.3875	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3581-01A-01R-0821-07.SJ.out.tab
TCGA-AG-3583	2.6395	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3583-01A-01R-0821-07.SJ.out.tab
TCGA-AG-3584	2.5118	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3584-01A-01R-0821-07.SJ.out.tab
TCGA-AG-3591	5.2406	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3591-01A-01R-1736-07.SJ.out.tab
TCGA-AG-3592	7.0895	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3592-01A-02R-1736-07.SJ.out.tab
TCGA-AG-3598	2.0176	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3598-01A-01R-0826-07.SJ.out.tab
TCGA-AG-3725	5.6688	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3725-01A-11R-1736-07.SJ.out.tab
TCGA-AG-3731	5.8206	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3731-01A-11R-1736-07.SJ.out.tab
TCGA-AG-3732	5.472	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3732-01A-11R-1660-07.SJ.out.tab
TCGA-AG-3742	4.7742	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-3742-01A-11R-1660-07.SJ.out.tab
TCGA-AG-4021	6.3113	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-4021-01A-01R-1736-07.SJ.out.tab
TCGA-AG-4022	5.4714	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AG-4022-01A-01R-1736-07.SJ.out.tab
TCGA-AH-6544	4.938	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AH-6544-01A-11R-1830-07.SJ.out.tab
TCGA-AH-6547	5.2753	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AH-6547-01A-11R-1830-07.SJ.out.tab
TCGA-AH-6549	7.756	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AH-6549-01A-11R-1830-07.SJ.out.tab
TCGA-AH-6643	5.5289	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AH-6643-01A-11R-1830-07.SJ.out.tab
TCGA-AH-6644	5.3427	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AH-6644-01A-21R-1830-07.SJ.out.tab
TCGA-AH-6897	3.6778	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AH-6897-01A-11R-1928-07.SJ.out.tab
TCGA-AH-6903	10.1575	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-AH-6903-01A-11R-1928-07.SJ.out.tab
TCGA-BM-6198	5.4249	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/READ/TCGA-BM-6198-01A-11R-1736-07.SJ.out.tab
