Sample_Name	Weight	Mutation_Info	SJ_File
TCGA-N5-A4R8	6.6169	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4R8-01A-11R-A28V-07.SJ.out.tab
TCGA-N5-A4RA	5.8105	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4RA-01A-11R-A28V-07.SJ.out.tab
TCGA-N5-A4RD	5.8254	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4RD-01A-11R-A28V-07.SJ.out.tab
TCGA-N5-A4RF	3.9224	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4RF-01A-11R-A28V-07.SJ.out.tab
TCGA-N5-A4RJ	5.8372	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4RJ-01A-11R-A28V-07.SJ.out.tab
TCGA-N5-A4RM	3.7342	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4RM-01A-11R-A28V-07.SJ.out.tab
TCGA-N5-A4RN	5.6352	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4RN-01A-12R-A28V-07.SJ.out.tab
TCGA-N5-A4RO	5.8477	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4RO-01A-11R-A28V-07.SJ.out.tab
TCGA-N5-A4RS	4.9744	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4RS-01A-11R-A28V-07.SJ.out.tab
TCGA-N5-A4RT	6.4403	SF3B1:D102A	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4RT-01A-11R-A28V-07.SJ.out.tab
TCGA-N5-A4RU	5.4825	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4RU-01A-31R-A28V-07.SJ.out.tab
TCGA-N5-A4RV	5.0654	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A4RV-01A-21R-A28V-07.SJ.out.tab
TCGA-N5-A59E	5.7185	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A59E-01A-11R-A28V-07.SJ.out.tab
TCGA-N5-A59F	5.7834	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N5-A59F-01A-11R-A28V-07.SJ.out.tab
TCGA-N6-A4V9	6.0266	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N6-A4V9-01A-11R-A28V-07.SJ.out.tab
TCGA-N6-A4VC	5.1789	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N6-A4VC-01A-11R-A28V-07.SJ.out.tab
TCGA-N6-A4VD	6.3726	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N6-A4VD-01A-11R-A28V-07.SJ.out.tab
TCGA-N6-A4VE	5.4788	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N6-A4VE-01A-11R-A28V-07.SJ.out.tab
TCGA-N6-A4VF	5.901	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N6-A4VF-01A-31R-A28V-07.SJ.out.tab
TCGA-N6-A4VG	5.5863	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N6-A4VG-01A-31R-A28V-07.SJ.out.tab
TCGA-N7-A4Y0	5.6057	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N7-A4Y0-01A-12R-A28V-07.SJ.out.tab
TCGA-N7-A4Y5	5.4752	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N7-A4Y5-01A-12R-A28V-07.SJ.out.tab
TCGA-N7-A4Y8	6.2405	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N7-A4Y8-01A-11R-A28V-07.SJ.out.tab
TCGA-N7-A59B	6.11	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N7-A59B-01A-11R-A28V-07.SJ.out.tab
TCGA-N8-A4PI	6.1571	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N8-A4PI-01A-21R-A28V-07.SJ.out.tab
TCGA-N8-A4PL	5.5539	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N8-A4PL-01A-11R-A28V-07.SJ.out.tab
TCGA-N8-A4PM	5.6049	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N8-A4PM-01A-11R-A28V-07.SJ.out.tab
TCGA-N8-A4PN	6.2383	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N8-A4PN-01A-11R-A28V-07.SJ.out.tab
TCGA-N8-A4PO	6.7153	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N8-A4PO-01A-11R-A28V-07.SJ.out.tab
TCGA-N8-A4PP	6.164	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N8-A4PP-01A-11R-A28V-07.SJ.out.tab
TCGA-N8-A4PQ	6.4942	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N8-A4PQ-01A-11R-A28V-07.SJ.out.tab
TCGA-N8-A56S	5.8535	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N8-A56S-01A-11R-A28V-07.SJ.out.tab
TCGA-N9-A4PZ	5.7287	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N9-A4PZ-01A-22R-A28V-07.SJ.out.tab
TCGA-N9-A4Q1	5.7682	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N9-A4Q1-01A-11R-A28V-07.SJ.out.tab
TCGA-N9-A4Q3	5.8177	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N9-A4Q3-01A-11R-A28V-07.SJ.out.tab
TCGA-N9-A4Q4	5.2083	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N9-A4Q4-01A-11R-A28V-07.SJ.out.tab
TCGA-N9-A4Q7	5.5514	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N9-A4Q7-01A-11R-A28V-07.SJ.out.tab
TCGA-N9-A4Q8	6.1501	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-N9-A4Q8-01A-31R-A28V-07.SJ.out.tab
TCGA-NA-A4QV	5.9966	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-NA-A4QV-01A-11R-A28V-07.SJ.out.tab
TCGA-NA-A4QW	5.8014	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/UCS/TCGA-NA-A4QW-01A-11R-A28V-07.SJ.out.tab
